	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
60320	61529	I am not primarily a developer, but I write code sometimes as part of my work	No	35.0	20				Nepal			Firebase;MongoDB;MySQL;PostgreSQL;Redis	Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work	Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development		I am actively looking for a job	Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript	Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift;TypeScript	Apache Spark;Hadoop;Keras;Node.js;Pandas;React Native;TensorFlow	Keras;Node.js;Pandas	Confluence;Jira;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Slack;Google Suite (Docs, Meet, etc)			Not at all important/not necessary	Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once every few years	No		Yes		Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Do other work and come back later	MacOS		AWS;Docker	Android;AWS;Docker;iOS		Straight / Heterosexual	Yes	Yes, definitely	A few times per month or weekly	Daily or almost daily	Neither easy nor difficult	Too long	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)	Django;Express;React.js;Vue.js	Angular;Django;Express;React.js;Vue.js	Somewhat less welcome now than last year		15.0	
60769	61994	I am a student who is learning to code	Yes						Nepal				MongoDB;MySQL			Independent contractor, freelancer, or self-employed							JavaScript;PHP		Node.js								Every few months	Not sure		No				Stack Overflow (public Q&A for anyone who codes)					Arduino			Yes	Not sure	I have never participated in Q&A on Stack Overflow	A few times per week						jQuery;Laravel	Just as welcome now as I felt last year			
61089	62322	I am a developer by profession	Yes		19	Monthly			Nepal	Nepalese rupee	NPR	Microsoft SQL Server;MySQL;Oracle	Microsoft SQL Server;MySQL	Data scientist or machine learning specialist;Developer, front-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time			Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on	Slightly dissatisfied	I am not interested in new job opportunities	C++;Dart;Python	C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript	Flutter;Node.js;React Native	.NET Core;Node.js;Pandas;TensorFlow	Slack	Github;Gitlab;Microsoft Azure;Google Suite (Docs, Meet, etc)	No	Extremely important	Fairly important	Wanting to share accomplishments with a wider network;Better compensation;Wanting to work with new technologies	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company			No		Often: 1-2 days per week or more	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters)	Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Windows	20 to 99 employees	Android;AWS	Arduino;MacOS;Microsoft Azure;Windows;WordPress	I have a great deal of influence		Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily				Computer science, computer engineering, or software engineering		Angular;jQuery;React.js		36.0	4.0	2
61097	62330	I am a student who is learning to code	No	21.0	18				Nepal					Developer, back-end	Associate degree (A.A., A.S., etc.)	Not employed, but looking for work	South Asian	Man	Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	Dart;JavaScript;Python	Assembly;C;HTML/CSS;Java										Once a year	Yes		No			Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos	Windows						Yes	Yes, somewhat	A few times per month or weekly	A few times per week	Easy	Appropriate in length	No	Information systems, information technology, or system administration			Somewhat more welcome now than last year		2.0	
61635	62885	I am a developer by profession	Yes	24.0	14	Monthly	25000.0	2628.0	Nepal	Nepalese rupee	NPR	Microsoft SQL Server;MongoDB	Microsoft SQL Server;SQLite	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	C#;JavaScript;Python;TypeScript	C#;JavaScript	.NET Core;Xamarin	.NET;.NET Core;Xamarin	Github	Github	Not sure	Extremely important	Fairly important	Curious about other opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family	Once a year	Not sure	Onboarding? What onboarding?	Yes	Never		Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Panic	Windows	100 to 499 employees	Docker;Microsoft Azure;Windows	Microsoft Azure;Windows	I have little or no influence	Straight / Heterosexual	Yes	Neutral	Less than once per month or monthly	Less than once per month or monthly	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	ASP.NET Core;jQuery	ASP.NET;ASP.NET Core;jQuery	Just as welcome now as I felt last year	40.0	7.0	Less than 1 year
62288	63593	I am a student who is learning to code	Yes	20.0	17				Nepal			MySQL;PostgreSQL	Microsoft SQL Server;MySQL;PostgreSQL		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student		Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development		I’m not actively looking, but I am open to new opportunities	C#;HTML/CSS;Java;JavaScript;Python;SQL	C;C#;HTML/CSS;Java;JavaScript;Python;SQL	.NET Core	.NET;.NET Core	Github	Github;Google Suite (Docs, Meet, etc)						Every few months	Yes		No		Start a free trial	Amused	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow	Windows			Windows			Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Daily or almost daily			No	Computer science, computer engineering, or software engineering	ASP.NET;ASP.NET Core;Django;React.js	Django;Flask;jQuery	Somewhat more welcome now than last year		2.0	
62289	63595	I am a developer by profession	Yes						Nepal			MongoDB	Firebase;MySQL;SQLite		Some college/university study without earning a degree	Employed full-time						Kotlin	C;C++;Java		Node.js;React Native	Jira;Stack Overflow for Teams	Github;Gitlab;Slack;Trello						Once every few years	No		No				Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Windows			Android	I have little or no influence		Yes	Neutral	I have never participated in Q&A on Stack Overflow	Multiple times per day						React.js	Just as welcome now as I felt last year			
62392	63707	I used to be a developer by profession, but no longer am	Yes						Nepal			Microsoft SQL Server	Microsoft SQL Server;MySQL									Bash/Shell/PowerShell;C;C#;C++;Python	Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript	.NET Core	.NET	Github	Jira;Github;Google Suite (Docs, Meet, etc)						Once every few years			Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later	Linux-based		Android;Arduino;Docker;Linux;MacOS	Linux;Windows			Yes	Neutral	Less than once per month or monthly	A few times per month or weekly					ASP.NET Core;Django	ASP.NET				
62413	63728	I am a developer by profession	Yes		19	Monthly	1000.0	12000.0	Nepal	United States dollar	USD			Developer, full-stack		Employed part-time			Flex time or a flexible schedule;Remote work options;Office environment or company culture	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities							Yes	Somewhat important	Fairly important	Better compensation;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company			Yes	No	Sometimes: 1-2 days per month but less than weekly			Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)			2 to 9 employees					Yes	Neutral	A few times per month or weekly	A few times per week				Computer science, computer engineering, or software engineering			Somewhat more welcome now than last year	8.0	5.0	1
62464	63784	I am a student who is learning to code	No		12				Nepal					Data scientist or machine learning specialist	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work			Opportunities for professional development		I am actively looking for a job	Python;R;SQL	C										Once a year	Yes		No				Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)								Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Less than once per month or monthly				Information systems, information technology, or system administration			Somewhat more welcome now than last year		10.0	
62480	63805	I am a student who is learning to code	No						Nepal				Microsoft SQL Server			Student							C;C#;HTML/CSS;Java;JavaScript;Python;SQL	Unity 3D	.NET								Once a year	Yes		No				Stack Overflow (public Q&A for anyone who codes)					Microsoft Azure;Windows			No	Not sure		A few times per month or weekly					Angular;Django;jQuery	ASP.NET	Just as welcome now as I felt last year			
62582	63913	I am a developer by profession	Yes		17				Nepal					Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time														Fairly important																									Computer science, computer engineering, or software engineering					10.0	4
62584	63915	I am not primarily a developer, but I write code sometimes as part of my work	Yes						Nepal			Firebase;MongoDB;MySQL;PostgreSQL;SQLite	Firebase;MySQL;PostgreSQL		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student						Dart;Java;JavaScript;R;SQL	C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	Flutter;Node.js;Pandas;React Native;TensorFlow	Node.js;Pandas;React Native;TensorFlow	Github;Slack;Stack Overflow for Teams	Github;Slack											Start a free trial;Ask developers I know/work with	Annoyed		Call a coworker or friend;Visit Stack Overflow	Windows		Android;Docker;Heroku;Slack Apps and Integrations;Windows	Android;Heroku;Windows										Another engineering discipline (such as civil, electrical, mechanical, etc.)	Angular.js;Django;Flask;jQuery;React.js	Django;Flask;jQuery;Laravel;React.js				
62585	63916	I am not primarily a developer, but I write code sometimes as part of my work	Yes		14	Monthly			Nepal	Nepalese rupee	NPR			System administrator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed part-time				Slightly dissatisfied	I am actively looking for a job							No	Not at all important	Very important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Growth or leadership opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family		Yes	Yes	No	Occasionally: 1-2 days per quarter but less than monthly			Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies)			10 to 19 employees					Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	A few times per week				Computer science, computer engineering, or software engineering			Just as welcome now as I felt last year	48.0	6.0	2
63312	64711	I am a developer by profession	Yes	19.0	16				Nepal				MySQL;SQLite	Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work		Man	Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development		I am actively looking for a job		C;C++;HTML/CSS;JavaScript;Python	Flutter;Node.js;Pandas;React Native	Flutter;Node.js;Pandas;React Native	Github;Slack;Microsoft Azure;Stack Overflow for Teams	Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)			Not at all important/not necessary	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months	Yes		Yes		Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):	Windows		Android;Arduino;AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows	Heroku;Microsoft Azure		Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Daily or almost daily			No	Computer science, computer engineering, or software engineering	Django;Flask;jQuery;React.js	Django;Flask;jQuery;React.js	Just as welcome now as I felt last year		3.0	
